smiles,name
c1cccc(c1C(F)(F)F)NC(=O)NCCNC(=O)OC(C)(C)C,AW00395
c1ccccc1CNC(=S)NCCNC(=O)OC(C)(C)C,AW00396
FC(F)(F)Oc(cc1)ccc1C(=O)NCCNC(=O)OC(C)(C)C,AW00397
c1ccccc1NC(=O)NCCNC(=O)OC(C)(C)C,AW00399
C1CCCCC1NC(=S)NCCNC(=O)OC(C)(C)C,AW00400
CC(C)(C)OC(=O)NCCNC(=S)Nc1c(Cl)cccc1C,AW00404
CC(C)(C)OC(=O)NCC/[NH+]=C/c1ccc(Cl)cc1,AW00405
CC(C)(C)OC(=O)NCCNC(=O)/C=C/C(=O)[O-],AW00406
c1sc(C)nc1-c(cc2)sc2S(=O)(=O)N3CCN(CC3)Cc4ccccc4,AW00407
CC(C)(C)OC(=O)N(CCC1)CCN1S(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00408
CC(C)(C)OC(=O)NCCNS(=O)(=O)c1sc(cc1)-c2nc(C)sc2,AW00409
c1sc(C)nc1-c(cc2)sc2S(=O)(=O)NCCc(c3)ccc(OC)c3OC,AW00411
c1sc(C)nc1-c(cc2)sc2S(=O)(=O)N3CCN(CCC3)c(cc4)ncc4C(F)(F)F,AW00412
c1cc(Cl)cc(Cl)c1[N-]S(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00414
CC(C)(C)OC(=O)NCC/[NH+]=C/c(c1Cl)ccc(Cl)c1,AW00417
CC(C)(C)OC(=O)NCC/N=C/c1ccc(O)cc1,AW00418
C1CCCCCN1S(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00419
c1cc(C)cc(C)c1NS(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00421
c1cccnc1CNS(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00422
c1ccncc1CNS(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00423
C1CCCC12C(=O)N(C(=O)C2)CCNC(=O)OC(C)(C)C,AW00424
[O-][N+](=O)c1cc(ccc1)\C=[NH+]\CCNC(=O)OC(C)(C)C,AW00425
c1ccccc1-c(ns2)nc2N3CCC[NH2+]CC3,AW00426
c1cc(C)ccc1S(=O)(=O)[N-]C(=O)N(CCC2)CCN2c3nc(ns3)-c4ccccc4,AW00428
c1cc(Br)cc(Cl)c1[N-]S(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00430
c1sc(C)nc1-c(cc2)sc2S(=O)(=O)N3CCN(CCC3)c4ncc(C(F)(F)F)cc4Cl,AW00431
c1cc(C)cc(C)c1OS(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00432
c1cc(OC)cc(OC)c1NS(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00433
c1cc(Cl)cc(Cl)c1OS(=O)(=O)c2sc(cc2)-c3nc(C)sc3,AW00434
[O-][N+](=O)c1cc(C(F)(F)F)ccc1NCCNC(=O)OC(C)(C)C,AW00435
c1ccsc1-c2nc(sc2)-c3ccccc3,AW00436
FC(F)(F)c(c1)ccc(c1[N+]([O-])=O)N(CCC2)CCN2C(=O)OC(C)(C)C,AW00439
CC(C)(C)OC(=O)N1CCC(O)CC1,AW00442
