smiles,name,bioactivity_class
CCN(c1cc(-c2ccc(C(=O)N3CCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701040,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN4CCOCC4)cc3)cc(N(C)[C@H]3CC[C@H](N)CC3)c2C)c(=O)[nH]1,CHEMBL3697435,active
Cc1cc(C)c(CNC(=O)c2cc(-c3cnn(C)c3)cc(N(C)[C@H]3CC[C@H](N)CC3)c2C)c(=O)[nH]1,CHEMBL3697436,active
Cc1cc(C)c(CNC(=O)c2cc(-c3cnn(CCN4CCOCC4)c3)cc(N(C)[C@H]3CC[C@@H](N)CC3)c2C)c(=O)[nH]1,CHEMBL3697439,active
CCN(c1cc(-c2ccc(CN(C)C)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697455,active
CCN(c1cc(-c2ccc(CN3C[C@H]4C[C@@H]3CO4)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697457,active
CCN(c1cc(-c2ccc(CN3CC[C@@H](O)C3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697461,active
CCN(c1cc(-c2ccc(CN3CCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697472,active
CCN(c1cc(-c2ccc(CN3CCCNCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)C1CCOCC1,CHEMBL3697475,active
CCN(c1cc(-c2cnc(C)cn2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3701034,active
Cc1cc(C)c(CNC(=O)c2cc(-c3ccc(CN(C)C)nc3)cc(N(C)[C@H]3CC[C@@H](N)CC3)c2C)c(=O)[nH]1,CHEMBL3697443,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)CC(F)F)CC1,CHEMBL3910693,active
CCOC(=O)[C@H]1CC[C@H](N(CC)c2cc(Cl)cc(C(=O)NCc3c(C)cc(C)[nH]c3=O)c2C)CC1,CHEMBL3961483,active
CCN(c1cc(C#CC(C)(C)O)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](N(C)C)CC1,CHEMBL3956266,active
CCCc1cc(C)[nH]c(=O)c1CNC(=O)c1cc(Cl)cc(N(CC)[C@H]2CC[C@H](N(C)C)CC2)c1C,CHEMBL3971862,active
CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@@H](C(=O)N2CCCC2)CC1,CHEMBL3941092,active
CCN(C(=O)C1CCOCC1)c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C,CHEMBL4855553,active
CCN(C(=O)C1CC1)c1cc(-c2ccc(N3CCN(CC4CC4)CC3)nc2C)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C,CHEMBL4862681,active
CCN(C(=O)C(C)C)c1cc(-c2ccc(CN3CCOCC3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C,CHEMBL4845841,active
CCN(C(=O)C1CC1)c1cc(-c2ccc(NC(=O)c3cccnc3)cc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C,CHEMBL4867160,active
CCCCNC(=O)C(N)CCSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,CHEMBL3397315,inactive
